2016-04-08 13:13:30 INFO  InformationExtractorJdbcDatabaseMetaDataImpl:338 - HHH000262: Table not found: messages
2016-04-08 13:13:30 INFO  InformationExtractorJdbcDatabaseMetaDataImpl:338 - HHH000262: Table not found: messages
2016-04-08 13:13:30 INFO  InformationExtractorJdbcDatabaseMetaDataImpl:338 - HHH000262: Table not found: Temporary_buffers
2016-04-08 13:13:30 INFO  InformationExtractorJdbcDatabaseMetaDataImpl:338 - HHH000262: Table not found: Temporary_buffers
2016-04-08 13:13:38 INFO  PublicMethodsWrapper:35 - ***saveTempBuffer method was started
2016-04-08 13:13:38 INFO  PublicMethodsWrapper:47 - ***saveTempBuffer method was ended
2016-04-08 13:13:38 INFO  PublicMethodsWrapper:35 - ***saveMessageInBuffer method was started
2016-04-08 13:13:38 INFO  PublicMethodsWrapper:47 - ***saveMessageInBuffer method was ended
2016-04-08 13:13:38 INFO  PublicMethodsWrapper:35 - ***findBufferByIdOwner method was started
2016-04-08 13:13:38 INFO  QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2016-04-08 13:13:39 INFO  PublicMethodsWrapper:47 - ***findBufferByIdOwner method was ended
2016-04-08 13:13:40 INFO  DropTables:24 - ********DataBase was removed
2016-04-08 13:38:04 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@1554909b: startup date [Fri Apr 08 13:38:04 EEST 2016]; root of context hierarchy
2016-04-08 13:38:04 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-context.xml]
2016-04-08 13:38:06 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [orm-spring-context.xml]
2016-04-08 13:38:07 INFO  PropertyPlaceholderConfigurer:172 - Loading properties file from class path resource [app.properties]
2016-04-08 13:38:08 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: com.mysql.jdbc.Driver
2016-04-08 13:38:08 INFO  LocalContainerEntityManagerFactoryBean:339 - Building JPA container EntityManagerFactory for persistence unit 'default'
2016-04-08 13:38:08 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2016-04-08 13:38:08 INFO  Version:37 - HHH000412: Hibernate Core {5.0.3.Final}
2016-04-08 13:38:08 INFO  Environment:213 - HHH000206: hibernate.properties not found
2016-04-08 13:38:08 INFO  Environment:317 - HHH000021: Bytecode provider name : javassist
2016-04-08 13:38:08 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.0.Final}
2016-04-08 13:38:10 INFO  Dialect:154 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2016-04-08 13:38:10 INFO  LobCreatorBuilderImpl:98 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [3] less than 4
2016-04-08 13:38:11 INFO  SchemaUpdate:101 - HHH000228: Running hbm2ddl schema update
2016-04-08 13:38:12 INFO  InformationExtractorJdbcDatabaseMetaDataImpl:338 - HHH000262: Table not found: clients
2016-04-08 13:38:12 INFO  InformationExtractorJdbcDatabaseMetaDataImpl:338 - HHH000262: Table not found: clients
2016-04-08 13:38:12 INFO  InformationExtractorJdbcDatabaseMetaDataImpl:338 - HHH000262: Table not found: clients_clients
